id;title;description;status;priority;due_date;completed
1;absolve enormously knottily;../fake-data/blob/hipster.txt;IN_PROGRESS;HIGH;2025-11-11T11:37:45;true
2;mask but finally;../fake-data/blob/hipster.txt;DONE;LOW;2025-11-11T03:54:17;false
3;unlawful until;../fake-data/blob/hipster.txt;PENDING;HIGH;2025-11-11T05:43:05;false
4;blah;../fake-data/blob/hipster.txt;PENDING;LOW;2025-11-11T14:40:48;false
5;sick bump moment;../fake-data/blob/hipster.txt;DONE;LOW;2025-11-10T22:25:44;false
6;wonderfully oh;../fake-data/blob/hipster.txt;DONE;LOW;2025-11-11T07:34:44;false
7;whenever round;../fake-data/blob/hipster.txt;IN_PROGRESS;MEDIUM;2025-11-11T00:42:33;true
8;ugh once;../fake-data/blob/hipster.txt;IN_PROGRESS;HIGH;2025-11-11T12:20:33;false
9;steep;../fake-data/blob/hipster.txt;PENDING;LOW;2025-11-11T14:46:23;false
10;unless;../fake-data/blob/hipster.txt;PENDING;LOW;2025-11-11T02:49:20;false
